Node,ID
Walden University,60033370
College of Medicine Alfaisal University,60231076
Aswan University Hospital,60199628
Preventive Medicine and Public Health Research Center,60159448
Hematology Oncology and Stem Cell Transplantation Research Center,60126113
Digestive Diseases Research Institute,60122524
Non-Communicable Diseases Research Center,60120846
Institutionen för Kliniska Vetenskaper Lund,60118584
Melbourne School of Population and Global Health,60118547
Contech International Health Consultants,60114252
Hamdan Bin Mohammed Smart University,60113238
Federal Institute for Population Research,60109465
Alborz University of Medical Sciences,60106549
Jazan University,60106293
Université de Lorraine,60104289
King Fahad Medical City,60091176
Faculty of Medicine University of Peradeniya,60088806
Japan International Cooperation Agency,60087582
Arabian Gulf University,60085992
Birzeit University,60072735
Secretariat of the Pacific Community Noumea,60072710
Université de Tunis El Manar Institut Salah Azaiez,60070308
Ministry of Health Kuwait,60069848
Stavanger University Hospital,60069103
American University of Beirut,60068761
Centre Hospitalier - Universitaire d'Oran,60068736
Health Services Academy Islamabad,60054128
Jordan University of Science and Technology,60051534
Pontificia Universidad Javeriana,60033545
Ministry of Health Saudi Arabia,60032813
Harvard T.H. Chan School of Public Health,60032499
Hospital for Sick Children University of Toronto,60030319
Tropical Medicine,60029929
Korea University College of Medicine,60029700
Universitetet i Bergen,60029622
UCLA Fielding School of Public Health,60029270
KyungHee University College of Medicine,60028708
Ball State University,60028244
Public Health Agency of Canada,60027479
The University of Edinburgh,60027272
The University of Alabama at Birmingham,60027086
Sveriges lantbruksuniversitet,60026851
University of Melbourne,60026553
Charité – Universitätsmedizin Berlin,60026245
The University of Sydney,60025709
Taipei Medical University,60022095
University of Virginia,60021918
Cleveland Clinic Foundation,60021160
Merton College,60019578
Universidade Federal de Santa Catarina,60017609
Universität Heidelberg,60016908
University of Toronto,60016618
University of Aberdeen,60015875
Universität Bielefeld,60015595
University of Washington,60015481
Thomas Jefferson University,60015277
University of Tasmania,60015150
Aintree University Hospital,60014875
King Saud University,60013183
Howard University,60012771
Karolinska Institutet,60012311
Norwegian Institute of Public Health,60011916
Kosin University,60011679
Kyoto University,60011001
Ahmadu Bello University,60010799
Työterveyslaitos,60010493
The University of British Columbia,60010365
Oregon Health &amp,60010123
Cabrini Health,60009442
Murdoch Children's Research Institute,60009102
Sina Trauma and Surgery Research Center,60006672
Universidade de São Paulo,60008088
University of Liverpool School of Medicine,60007820
Faculty of Medicine,60024232
Charles R. Drew University of Medicine and Science,60006983
National Heart Lung and Blood Institute (NHLBI),60005281
David Geffen School of Medicine at UCLA,60005247
University of Northumbria,60004636
Universitat de València,60002494
Jackson State University,60000238
Society for Health and Demographic Surveillance,122683704
Sweidi Hospital,118859833
Hunger Action Los Angeles,116902137
German National Cohort Consortium,116065281
Contech School of Public Health,116065207
Nevada Division of Public and Behavioral Health,114148180
Federal Teaching Hospital,112743821
West Virginia Bureau for Public Health,107753462
Iranian Center for Evidence-Based Medicine,60208575
College of Medicine University of Ibadan,60199609
University of Leicester School of Business,60171768
Murdoch Business School,60170291
IUMS Health Management and Economics Research Center,60159438
Liver and Pancreatobiliary Diseases Research Center,60123830
Multiple Sclerosis Research Center,60123806
Advanced Diagnostic and Interventional Radiology Research Center,60123791
The Institute of Pharmaceutical Sciences (TIPS),60123785
Social Determinants of Health Research Center Birjand University of Medical Sciences,60120690
University of Health and Allied Sciences Ghana,60116801
Institute of Forensic Science Nagpur,60114487
Debre Berhan University,60109528
South Australian Health and Medical Research Institute,60108899
Bucharest University of Economic Studies,60107810
Universidad de la Costa,60107779
Bangladesh University of Health Sciences,60106979
Iranshahr University of Medical Sciences,60106688
Mekelle University,60104681
Imam Abdulrahman Bin Faisal university,60104334
Universiti Sultan Zainal Abidin,60103919
Cardiff University School of Medicine,60103683
Université de Bordeaux,60102125
Birmingham City University,60100434
Maragheh University of Medical Sciences,60091926
The Faculty of Health Sciences,60089253
Agricultural Research Education &amp,60089324
Extension Organization Iran,60087393
Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública,60072791
Instytut Centrum Zdrowia Matki Polki,60072260
Sultan Qaboos University,60071768
University of the Philippines Manila,60071196
Bahar Dar University,60070606
African Population &amp,60069522
The University of Jordan,60064180
Universidad de Cartagena,60055678
Universitas Sebelas Maret,60054151
Kuwait University,60038812
Universitatea de Medicina si Farmacie Carol Davila din Bucuresti,60033041
Universitat Pompeu Fabra Barcelona,60032942
Sapienza Università di Roma,60032350
McMaster University,60031286
The University of Queensland,60031004
Zahedan University of Medical Sciences,60030116
Universidade Federal de Minas Gerais,60030074
University of Southern California,60029311
University of Washington School of Medicine,60028548
Royal Brisbane and Women's Hospital,60028435
Tehran University of Medical Sciences,60027708
University of Texas Health Science Center at Houston,60027512
Mayo Clinic Scottsdale-Phoenix Arizona,60026952
University of Newcastle upon Tyne Faculty of Medical Sciences,60026712
Ardabil University of Medical Sciences,60026470
University of Thessaly,60025812
Iran University of Medical Sciences,60024852
Georgetown University,60023927
Instituto Nacional de Salud Pública. México,60022420
Shiraz University of Medical Sciences,60021948
Isfahan University of Medical Sciences,60019181
Karolinska Universitetssjukhuset,60016524
Mazandaran University of Medical Sciences,60017810
University College Hospital Ibadan,60015323
Högskolan Dalarna,60012874
Washington University in St. Louis,60010261
Rijksuniversiteit Groningen,60010023
Rafsanjan University of Medical Sciences,60009057
Hong Kong Polytechnic University,60008667
Kermanshah University of Medical Sciences,60006925
Medical University of Lodz,60006651
National Institutes of Health (NIH),60005880
Hamadan University of Medical Sciences,60006270
Johns Hopkins Bloomberg School of Public Health,60006183
Mayo Clinic,60005558
Southeast University,60004272
King Abdulaziz University,60004582
Guy's and St Thomas' NHS Foundation Trust,60004009
Burnet Institute,60003344
Harvard Medical School,60002746
Baylor College of Medicine,60002441
Universiti Kebangsaan Malaysia,60001818
Stellenbosch University,60001565
Federal Ministry of Health,125256770
Tishk International University,60275645
Sydney Local Health District,60212079
School of Health Management and Information Sciences,60206604
Health Human Resources Research Center (SUMS),60165277
Health Promotion Research Center (ZAUMS),60159437
Social Determinants of Health Research Center,60134708
Wollega University,60120582
Erbil Polytechnic University,60116094
The IIHMR University Jaipur,60115218
Wolaita Sodo University,60109527
Madda Walabu University,60109519
Debre Markos University,60109514
Ambo University,60109511
Adigrat University,60109448
All India Institute of Medical Sciences Jodhpur,60108918
École Nationale Supérieure Vétérinaire d'Alger,60105437
Datta Meghe Institute of Higher Education &amp,60094583
King Saud bin Abdulaziz University for Health Sciences,60078212
ANU Medical School,60075989
Kwame Nkrumah University of Science and Technology,60071885
Universidad Nacional Autónoma de México,60032442
Range Cattle Research and Education Center,60028333
Babol University of Medical Sciences,60026075
Urmia University of Medical Sciences,60021077
Hopital Dupuytren,60018680
Western Sydney University,60017803
Universidad Autónoma Metropolitana,60014923
University of Otago,60014714
Sechenov First Moscow State Medical University,60010188
BRAC University,60008935
Universidade do Porto,60007249
The University of Auckland,60005686
Nanyang Technological University,60005510
Johns Hopkins University,60005248
University of Oxford Medical Sciences Division,60002634
Universiteit van Amsterdam,60001987
Instituto Nacional de Psiquiatría Ramon de la Fuente,60001090
University of Massachusetts Chan Medical School,60000986
Klinikum der Universität München,124674455
Philippine Institute for Development Studies,120462426
Peruvian National Institute of Health,115541941
Research Department,108445318
